phecode	phenotype	sex	category	icd9_ukb_num	icd9_ukb	icd10_ukb_num	icd10_ukb
230	Kaposi's sarcoma		neoplasms	NA	NA	8	B21.0, C46.0, C46.1, C46.2, C46.3, C46.7, C46.8, C46.9
240	Simple and unspecified goiter		endocrine/metabolic	1	240.9	2	E04.0, E04.9
241	Nontoxic nodular goiter	Both	endocrine/metabolic	3	241.0, 241.1, 241.9	1	E04.8
241.1	Nontoxic uninodular goiter	Both	endocrine/metabolic	1	241.0	1	E04.1
241.2	Nontoxic multinodular goiter	Both	endocrine/metabolic	1	241.1	2	E01.1, E04.2
242	Thyrotoxicosis with or without goiter		endocrine/metabolic	5	242.0, 242.2, 242.3, 242.8, 242.9	6	E05, E05.1, E05.3, E05.4, E05.5, E05.9
242.1	Graves' disease		endocrine/metabolic	1	242.0	1	E05.0
242.2	Toxic multinodular goiter	Both	endocrine/metabolic	1	242.2	1	E05.2
242.3	Exophthalmos	Both	endocrine/metabolic	2	376.2, 376.3	1	H06.2
244	Hypothyroidism	Both	endocrine/metabolic	2	244.2, 244.9	NA	NA
244.1	Secondary hypothyroidism		endocrine/metabolic	NA	NA	2	E03.2, E89.0
244.2	Acquired hypothyroidism	Both	endocrine/metabolic	NA	NA	4	E01.8, E02, E03.3, E03.8
244.3	Iodine hypothyroidism	Both	endocrine/metabolic	1	244.2	NA	NA
244.4	Hypothyroidism NOS	Both	endocrine/metabolic	1	244.9	1	E03.9
244.5	Congenital hypothyroidism	Both	endocrine/metabolic	NA	NA	2	E03.0, E03.1
245	Thyroiditis	Both	endocrine/metabolic	2	245.2, 245.9	2	E06.4, E06.9
245.1	Thyroiditis, acute and subacute	Both	endocrine/metabolic	NA	NA	2	E06.0, E06.1
245.2	Chronic thyroiditis	Both	endocrine/metabolic	1	245.2	2	E06.2, E06.5
245.21	Chronic lymphocytic thyroiditis	Both	endocrine/metabolic	1	245.2	1	E06.3
246	Other disorders of thyroid	Both	endocrine/metabolic	3	246.1, 246.2, 246.9	5	E03.4, E07.0, E07.1, E07.8, E07.9
246.2	Thyroid cyst	Both	endocrine/metabolic	1	246.2	NA	NA
246.7	Abnormal results of function study of thyroid	Both	endocrine/metabolic	NA	NA	1	R94.6
249	Secondary diabetes mellitus		endocrine/metabolic	NA	NA	3	E12.1, E12.8, E12.9
250	Diabetes mellitus	Both	endocrine/metabolic	13	250.0, 250.00, 250.01, 250.1, 250.10, 250.11, 250.3, 250.4, 250.5, 250.9, 357.2, 362.0, 791.5	NA	NA
250.1	Type 1 diabetes	Both	endocrine/metabolic	2	250.01, 250.11	5	E10.0, E10.6, E10.7, E10.8, E10.9
250.11	Type 1 diabetes with ketoacidosis	Both	endocrine/metabolic	1	250.11	1	E10.1
250.12	Type 1 diabetes with renal manifestations	Both	endocrine/metabolic	NA	NA	1	E10.2
250.13	Type 1 diabetes with ophthalmic manifestations	Both	endocrine/metabolic	NA	NA	1	E10.3
250.14	Type 1 diabetes with neurological manifestations	Both	endocrine/metabolic	NA	NA	1	E10.4
250.2	Type 2 diabetes	Both	endocrine/metabolic	2	250.00, 250.10	11	E11.0, E11.6, E11.7, E11.8, E11.9, E13.5, E13.6, E13.7, E13.8, E13.9, E14.9
250.21	Type 2 diabetes with ketoacidosis	Both	endocrine/metabolic	1	250.10	2	E11.1, E13.1
250.22	Type 2 diabetes with renal manifestations	Both	endocrine/metabolic	NA	NA	1	E11.2
250.23	Type 2 diabetes with ophthalmic manifestations	Both	endocrine/metabolic	NA	NA	2	E10.3, E11.3
250.24	Type 2 diabetes with neurological manifestations	Both	endocrine/metabolic	NA	NA	4	E10.4, E11.4, E13.4, G59.0
250.3	Insulin pump user	Both	endocrine/metabolic	NA	NA	1	Z96.4
250.4	Abnormal glucose	Both	endocrine/metabolic	1	790.2	NA	NA
250.41	Impaired fasting glucose	Both	endocrine/metabolic	NA	NA	1	R73.0
250.42	Other abnormal glucose	Both	endocrine/metabolic	NA	NA	1	R73.9
250.5	Glycosuria or Acetonuria	Both	endocrine/metabolic	1	791.5	2	R81, R82.4
250.6	Polyneuropathy in diabetes	Both	endocrine/metabolic	1	357.2	1	G63.2
250.7	Diabetic retinopathy	Both	endocrine/metabolic	1	362.0	3	E10.3, E13.3, H36.0
251	Other disorders of pancreatic internal secretion	Both	endocrine/metabolic	NA	NA	2	E16.8, E16.9
251.1	Hypoglycemia	Both	endocrine/metabolic	2	251.0, 251.2	4	E15, E16.0, E16.1, E16.2
251.8	Abnormality of secretion of glucagon or gastrin	Both	endocrine/metabolic	NA	NA	2	E16.3, E16.4
252	Disorders of parathyroid gland		endocrine/metabolic	2	252.0, 252.1	2	E21.4, E21.5
252.1	Hyperparathyroidism		endocrine/metabolic	1	252.0	4	E21.0, E21.1, E21.2, E21.3
252.2	Hypoparathyroidism	Both	endocrine/metabolic	1	252.1	4	E20.0, E20.8, E20.9, E89.2
253	Disorders of the pituitary gland and its hypothalamic control		endocrine/metabolic	7	253.0, 253.1, 253.2, 253.3, 253.4, 253.5, 253.9	4	E23.3, E23.6, E23.7, E24.1
253.1	Pituitary hyperfunction	Both	endocrine/metabolic	2	253.0, 253.1	4	E05.8, E22.1, E22.8, E22.9
253.11	Acromegaly and gigantism	Both	endocrine/metabolic	1	253.0	1	E22.0
253.2	Pituitary hypofunction	Both	endocrine/metabolic	1	253.2	1	E23.0
253.3	Diabetes insipidus	Both	endocrine/metabolic	1	253.5	1	E23.2
253.4	Anterior pituitary disorders	Both	endocrine/metabolic	1	253.4	NA	NA
253.5	Pituitary dwarfism	Both	endocrine/metabolic	1	253.3	NA	NA
253.7	Other disorders of neurohypophysis	Both	endocrine/metabolic	NA	NA	1	E22.2
254	Diseases of thymus gland	Both	endocrine/metabolic	NA	NA	3	E32.0, E32.8, E32.9
255	Disorders of adrenal glands		endocrine/metabolic	3	255.0, 255.1, 255.4	3	E27.8, E27.9, E35.1
255.1	Adrenal hyperfunction	Both	endocrine/metabolic	2	255.0, 255.1	1	E27.0
255.11	Cushing's syndrome	Both	endocrine/metabolic	1	255.0	5	E24.0, E24.2, E24.3, E24.8, E24.9
255.12	Hyperaldosteronism	Both	endocrine/metabolic	1	255.1	4	E26.0, E26.1, E26.8, E26.9
255.13	Medulloadrenal hyperfunction	Both	endocrine/metabolic	NA	NA	1	E27.5
255.2	Adrenal hypofunction	Both	endocrine/metabolic	1	255.4	NA	NA
255.21	Glucocorticoid deficiency	Both	endocrine/metabolic	NA	NA	5	E27.1, E27.2, E27.3, E27.4, E89.6
255.3	Adrenogenital disorders	Both	endocrine/metabolic	NA	NA	3	E25.0, E25.8, E25.9
256	Ovarian dysfunction	Female	endocrine/metabolic	2	256.0, 256.4	4	E28.1, E28.8, E28.9, N98.1
256.1	Hyperestrogenism	Both	endocrine/metabolic	1	256.0	NA	NA
256.4	Polycystic ovaries	Female	endocrine/metabolic	1	256.4	1	E28.2
257	Testicular dysfunction	Male	endocrine/metabolic	1	257.2	3	E29.0, E29.8, E29.9
257.1	Testicular hypofunction	Male	endocrine/metabolic	1	257.2	1	E29.1
258	Iatrogenic endocrine disorders		endocrine/metabolic	NA	NA	4	E23.1, E89.1, E89.3, E89.5
258.1	Postablative ovarian failure	Female	endocrine/metabolic	1	256.2	1	E89.4
259	Other endocrine disorders		endocrine/metabolic	2	259.9, 794.6	8	E30.9, E31.0, E31.8, E31.9, E34.3, E34.5, E34.8, E34.9
259.1	Nonspecific abnormal results of other endocrine function study	Both	endocrine/metabolic	1	794.6	1	R94.7
259.2	Carcinoid syndrome	Both	endocrine/metabolic	NA	NA	1	E34.0
259.3	Delay in sexual development and puberty NEC	Both	endocrine/metabolic	1	259.0	1	E30.0
260	Protein-calorie malnutrition		endocrine/metabolic	1	783.2	3	E44.0, E44.1, E46
260.1	Cachexia	Both	endocrine/metabolic	1	799.4	2	B22.2, R64
260.2	severe protein-calorie malnutrition	Both	endocrine/metabolic	NA	NA	2	E12.1, E45
260.22	Nutritional marasmus	Both	endocrine/metabolic	NA	NA	1	E41
260.6	Anorexia	Both	endocrine/metabolic	1	783.0	1	R63.0
260.7	Polyphagia	Both	endocrine/metabolic	1	783.6	1	R63.2
261	Vitamin deficiency	Both	endocrine/metabolic	1	266.2	4	E56.0, E56.1, E56.8, E56.9
261.1	Vitamin A deficiency	Both	endocrine/metabolic	NA	NA	3	E50.5, E50.7, E50.9
261.2	Vitamin B-complex deficiencies	Both	endocrine/metabolic	1	266.2	8	E51.2, E51.8, E51.9, E52, E53.0, E53.1, E53.8, E53.9
261.3	Vitamin C deficiencies	Both	endocrine/metabolic	NA	NA	1	E54
261.4	Vitamin D deficiency	Both	endocrine/metabolic	NA	NA	1	E55.9
261.41	Rickets or osteomalacia	Both	endocrine/metabolic	NA	NA	8	E55.0, E64.3, M83.1, M83.2, M83.3, M83.4, M83.8, M83.9
262	Mineral deficiency NEC	Both	endocrine/metabolic	NA	NA	8	E58, E59, E60, E61.0, E61.1, E61.2, E61.3, E61.6
263	Other nutritional deficiency		endocrine/metabolic	NA	NA	7	E43, E61.7, E61.8, E61.9, E63.1, E63.9, E64.9
264	Lack of normal physiological development		endocrine/metabolic	1	783.43	NA	NA
264.1	Short stature	Both	endocrine/metabolic	1	783.43	NA	NA
264.9	Lack of normal physiological development, unspecified	Both	endocrine/metabolic	NA	NA	2	R62.8, R62.9
269	Proteinuria	Both	endocrine/metabolic	2	593.6, 791.0	4	N06.9, N39.1, N39.2, R80
270	Disorders of protein plasma/amino-acid transport and metabolism		endocrine/metabolic	1	270.0	NA	NA
270.1	Disturbances of amino-acid transport	Both	endocrine/metabolic	1	270.0	6	E70.2, E70.3, E70.8, E70.9, E71.1, E72.0
270.11	Disturbances of sulphur-bearing amino-acid metabolism	Both	endocrine/metabolic	NA	NA	1	E72.1
270.12	Phenylketonuria [PKU]	Both	endocrine/metabolic	NA	NA	2	E70.0, E70.1
270.2	Disorders of amino-acid metabolism	Both	endocrine/metabolic	NA	NA	1	E72.5
270.21	Disorders of urea cycle metabolism	Both	endocrine/metabolic	NA	NA	2	E72.2, E72.4
270.31	Polyclonal hypergammaglobulinemia	Both	endocrine/metabolic	NA	NA	1	D89.0
270.32	Paraproteinemia	Both	endocrine/metabolic	NA	NA	2	D47.2, D89.1
270.33	Amyloidosis	Both	endocrine/metabolic	NA	NA	8	E85.0, E85.1, E85.2, E85.3, E85.4, E85.8, E85.9, L99.0
270.35	Macroglobulinemia	Both	endocrine/metabolic	NA	NA	1	C88.0
271	Disorders of carbohydrate transport and metabolism		endocrine/metabolic	1	271.4	NA	NA
271.3	Intestinal disaccharidase deficiencies and disaccharide malabsorption	Both	endocrine/metabolic	NA	NA	4	E73.1, E73.8, E73.9, E74.3
271.9	Other disorders of carbohydrate transport and metabolism	Both	endocrine/metabolic	1	271.4	8	E74.0, E74.2, E74.4, E74.8, E74.9, E76.0, E76.1, E76.2
272	Disorders of lipoid metabolism		endocrine/metabolic	4	272.0, 272.1, 272.2, 272.4	NA	NA
272.1	Hyperlipidemia		endocrine/metabolic	4	272.0, 272.1, 272.2, 272.4	2	E78.4, E78.5
272.11	Hypercholesterolemia	Both	endocrine/metabolic	1	272.0	1	E78.0
272.12	Hyperglyceridemia	Both	endocrine/metabolic	1	272.1	1	E78.1
272.13	Mixed hyperlipidemia	Both	endocrine/metabolic	1	272.2	1	E78.2
272.14	Hyperchylomicronemia	Both	endocrine/metabolic	NA	NA	1	E78.3
272.9	Unspecified disorder of lipoid metabolism	Both	endocrine/metabolic	NA	NA	1	E78.9
274	Gout and other crystal arthropathies		endocrine/metabolic	2	274.9, 712.3	NA	NA
274.1	Gout	Both	endocrine/metabolic	1	274.9	2	M10.4, M10.9
274.11	Gouty arthropathy	Both	endocrine/metabolic	NA	NA	2	M10.0, M10.2
274.2	Crystal arthropathies	Both	endocrine/metabolic	1	712.3	2	M11.8, M11.9
274.21	Chondrocalcinosis	Both	endocrine/metabolic	1	712.3	2	M11.2, M67.9
275	Disorders of mineral metabolism		endocrine/metabolic	4	275.0, 275.3, 275.4, 275.41	2	E83.8, E83.9
275.1	Disorders of iron metabolism		hematopoietic	1	275.0	1	E83.1
275.2	Disorders of copper metabolism		endocrine/metabolic	NA	NA	1	E83.0
275.3	Disorders of magnesium metabolism		endocrine/metabolic	NA	NA	1	E83.4
275.5	Disorders of calcium/phosphorus metabolism		endocrine/metabolic	3	275.3, 275.4, 275.41	2	E20.1, E83.5
275.51	Hypocalcemia	Both	endocrine/metabolic	1	275.41	NA	NA
275.53	Disorders of phosphorus metabolism	Both	endocrine/metabolic	1	275.3	1	E83.3
276	Disorders of fluid, electrolyte, and acid-base balance	Both	endocrine/metabolic	7	276.1, 276.5, 276.6, 276.69, 276.7, 276.8, 276.9	NA	NA
276.1	Electrolyte imbalance	Both	endocrine/metabolic	4	276.1, 276.7, 276.8, 276.9	1	E87.8
276.11	Hyperosmolality and/or hypernatremia	Both	endocrine/metabolic	NA	NA	1	E87.0
276.12	Hyposmolality and/or hyponatremia	Both	endocrine/metabolic	1	276.1	1	E87.1
276.13	Hyperpotassemia	Both	endocrine/metabolic	1	276.7	1	E87.5
276.14	Hypopotassemia	Both	endocrine/metabolic	1	276.8	1	E87.6
276.4	Acid-base balance disorder	Both	endocrine/metabolic	NA	NA	1	E87.4
276.41	Acidosis	Both	endocrine/metabolic	NA	NA	1	E87.2
276.42	Alkalosis	Both	endocrine/metabolic	NA	NA	1	E87.3
276.5	Hypovolemia	Both	endocrine/metabolic	1	276.5	1	E86
276.6	Fluid overload	Both	endocrine/metabolic	2	276.6, 276.69	1	E87.7
276.8	Polydipsia	Both	endocrine/metabolic	1	783.5	1	R63.1
277	Other disorders of metabolism		endocrine/metabolic	3	277.1, 277.8, 783.9	9	D76.0, E43, E88.0, E88.8, E88.9, E89.8, E89.9, R63.8, Z86.2
277.1	Disorders of porphyrin metabolism	Both	endocrine/metabolic	1	277.1	3	E80.0, E80.1, E80.2
277.2	Other disorders of purine and pyrimidine metabolism	Both	endocrine/metabolic	NA	NA	2	E79.1, E79.8
277.4	Disorders of bilirubin excretion		endocrine/metabolic	1	277.4	4	E80.4, E80.6, E80.7, R82.2
277.5	Other disorders of lipoid metabolism		endocrine/metabolic	2	272.5, 272.6	6	E71.3, E75.5, E78.8, E88.2, E88.8, M14.3
277.51	Lipoprotein disorders	Both	endocrine/metabolic	2	272.5, 272.6	6	E75.3, E75.6, E77.0, E77.8, E78.6, E88.1
277.6	Other deficiencies of circulating enzymes		endocrine/metabolic	1	277.6	NA	NA
278	Overweight, obesity and other hyperalimentation	Both	endocrine/metabolic	3	278.0, 278.1, 783.1	3	E67.0, E67.1, E68
278.1	Obesity	Both	endocrine/metabolic	NA	NA	4	E66.0, E66.1, E66.8, E66.9
278.3	Localized adiposity	Both	endocrine/metabolic	1	278.1	1	E65
278.4	Abnormal weight gain	Both	endocrine/metabolic	1	783.1	1	R63.5
279	Disorders involving the immune mechanism		endocrine/metabolic	2	279.0, 279.3	1	D89.9
279.1	Immunity deficiency	Both	endocrine/metabolic	2	279.0, 279.3	11	D80.6, D80.8, D80.9, D81.0, D81.1, D81.8, D81.9, D82.1, D83.1, D84.8, D84.9
279.11	Deficiency of humoral immunity	Both	endocrine/metabolic	1	279.0	10	D80.0, D80.1, D80.2, D80.3, D80.4, D80.5, D83.0, D83.2, D83.8, D83.9
279.7	Other immunological findings	Both	endocrine/metabolic	1	795.7	3	R76.0, R76.8, R76.9
279.8	Other specified disorders involving the immune mechanism	Both	endocrine/metabolic	NA	NA	5	D82.3, D82.4, D82.9, D84.0, D89.8
280	Iron deficiency anemias		hematopoietic	1	280.9	NA	NA
280.1	Iron deficiency anemias, unspecified or not due to blood loss	Both	hematopoietic	1	280.9	3	D50.1, D50.8, D50.9
280.2	Iron deficiency anemia secondary to blood loss (chronic)	Both	hematopoietic	NA	NA	1	D50.0
281	Other deficiency anemia		hematopoietic	3	281.0, 281.2, 281.9	2	D53.0, D53.8
281.1	Megaloblastic anemia		hematopoietic	2	281.0, 281.2	1	D53.1
281.11	Pernicious anemia	Both	hematopoietic	1	281.0	1	D51.0
281.12	Other vitamin B12 deficiency anemia	Both	hematopoietic	NA	NA	3	D51.3, D51.8, D51.9
281.13	Folate-deficiency anemia	Both	hematopoietic	1	281.2	3	D52.0, D52.8, D52.9
281.9	Deficiency anemias	Both	hematopoietic	1	281.9	1	D53.9
282	Hereditary hemolytic anemias		hematopoietic	3	282.0, 282.7, 282.9	NA	NA
282.5	Sickle cell anemia		hematopoietic	NA	NA	4	D57.0, D57.1, D57.3, D57.8
282.8	Other hemoglobinopathies	Both	hematopoietic	1	282.7	8	D56.0, D56.1, D56.2, D56.3, D56.8, D56.9, D57.2, D58.2
282.9	Other hereditary hemolytic anemias	Both	hematopoietic	2	282.0, 282.9	7	D55.0, D55.2, D55.9, D58.0, D58.1, D58.8, D58.9
283	Acquired hemolytic anemias		hematopoietic	1	283.0	1	D59.9
283.1	Autoimmune hemolytic anemias		hematopoietic	1	283.0	2	D59.0, D59.1
283.2	Non-autoimmune hemolytic anemias	Both	hematopoietic	NA	NA	2	D59.2, D59.4
283.21	Hemolytic-uremic syndrome	Both	hematopoietic	NA	NA	1	D59.3
284	Aplastic anemia		hematopoietic	3	284.0, 284.89, 284.9	7	D60.0, D60.9, D61.1, D61.2, D61.3, D61.8, D61.9
284.2	Constitutional aplastic anemia	Both	hematopoietic	1	284.0	1	D61.0
285	Other anemias		hematopoietic	2	285.1, 285.9	3	D64.4, D64.8, D64.9
285.1	Acute posthemorrhagic anemia	Both	hematopoietic	1	285.1	1	D62
285.2	Anemia of chronic disease	Both	hematopoietic	NA	NA	1	D63.8
285.22	Anemia in neoplastic disease	Both	hematopoietic	NA	NA	1	D63.0
285.3	Sideroblastic anemia	Both	hematopoietic	NA	NA	4	D64.0, D64.1, D64.2, D64.3
285.8	Hemoglobinuria	Both	hematopoietic	1	791.2	4	D59.5, D59.6, D59.8, R82.3
286	Coagulation defects	Both	hematopoietic	4	286.0, 286.1, 286.4, 286.9	NA	NA
286.1	Congenital coagulation defects	Both	hematopoietic	3	286.0, 286.1, 286.4	2	D67, D68.1
286.11	Von willebrand's disease	Both	hematopoietic	1	286.4	1	D68.0
286.12	Congenital deficiency of other clotting factors (including factor VII)	Both	hematopoietic	NA	NA	1	D68.2
286.13	Congenital factor VIII disorder	Both	hematopoietic	1	286.0	1	D66
286.3	Coagulation defects complicating pregnancy or postpartum	Female	hematopoietic	NA	NA	2	O72.3, O99.1
286.4	Acquired coagulation factor deficiency	Both	hematopoietic	NA	NA	1	D68.4
286.5	Hemorrhagic disorder due to intrinsic circulating anticoagulants	Both	hematopoietic	NA	NA	1	D68.3
286.6	Defibrination syndrome	Both	hematopoietic	NA	NA	1	D65
286.7	Other and unspecified coagulation defects	Both	hematopoietic	1	286.9	2	D68.8, D68.9
287	Purpura and other hemorrhagic conditions		hematopoietic	8	287.0, 287.1, 287.2, 287.3, 287.30, 287.39, 287.5, 287.9	3	D69.2, D69.8, D69.9
287.1	Spontaneous ecchymoses	Both	hematopoietic	1	782.7	1	R23.3
287.2	Allergic purpura	Both	hematopoietic	1	287.0	1	D69.0
287.3	Thrombocytopenia	Both	hematopoietic	4	287.3, 287.30, 287.39, 287.5	1	D69.6
287.31	Primary thrombocytopenia	Both	hematopoietic	3	287.3, 287.30, 287.39	2	D69.3, D69.4
287.32	Secondary thrombocytopenia	Both	hematopoietic	NA	NA	1	D69.5
287.4	Qualitative platelet defects	Both	hematopoietic	1	287.1	1	D69.1
288	Diseases of white blood cells	Both	hematopoietic	2	288.3, 288.9	8	D71, D72.0, D72.8, D72.9, D76.1, D76.2, D76.3, R72
288.1	Decreased white blood cell count	Both	hematopoietic	3	288.0, 288.01, 288.09	NA	NA
288.11	Neutropenia	Both	hematopoietic	3	288.0, 288.01, 288.09	1	D70
288.3	Eosinophilia	Both	hematopoietic	1	288.3	1	D72.1
289	Other diseases of blood and blood-forming organs		hematopoietic	4	289.8, 289.89, 289.9, V12.3	5	D57.8, D75.8, D75.9, D77, D89.2
289.3	Personal history of diseases of blood and blood-forming organs	Both	hematopoietic	1	V12.3	1	Z86.2
289.4	Lymphadenitis	Both	hematopoietic	4	289.1, 289.2, 289.3, 785.6	13	I88.0, I88.1, I88.8, I88.9, L04.0, L04.1, L04.2, L04.3, L04.8, L04.9, R59.0, R59.1, R59.9
289.5	Diseases of spleen	Both	hematopoietic	1	289.5	8	D73.0, D73.1, D73.2, D73.3, D73.4, D73.5, D73.8, D73.9
289.8	Polycythemia, secondary	Both	hematopoietic	1	289.0	1	D75.1
289.9	Abnormality of red blood cells	Both	hematopoietic	NA	NA	4	D74.8, D74.9, D75.0, R71
290	Delirium dementia and amnestic and other cognitive disorders		mental disorders	2	290.1, 293.0	2	F09, R54
290.1	Dementias	Both	mental disorders	1	290.1	5	F00.9, F02.0, F02.1, F02.8, F03
290.11	Alzheimer's disease	Both	mental disorders	NA	NA	7	F00.0, F00.1, F00.2, G30.0, G30.1, G30.8, G30.9
290.12	Dementia with cerebral degenerations	Both	mental disorders	NA	NA	2	F02.3, G31.1
290.16	Vascular dementia	Both	mental disorders	NA	NA	5	F01.0, F01.1, F01.2, F01.3, F01.9
290.2	Delirium due to conditions classified elsewhere	Both	mental disorders	1	293.0	4	F05.1, F05.8, F05.9, F10.4
290.3	Other persistent mental disorders due to conditions classified elsewhere	Both	mental disorders	1	310.1	15	F02.4, F06.6, F18.1, F18.2, F18.5, F18.9, F19.0, F19.1, F19.2, F19.3, F19.4, F19.5, F19.8, F19.9, F62.0
291	Other specified nonpsychotic and/or transient mental disorders		mental disorders	3	293.9, 310.2, 780.0	NA	NA
291.1	Transient mental disorders due to conditions classified elsewhere	Both	mental disorders	1	293.9	5	F23, F23.0, F23.1, F23.8, F23.9
291.4	Specific nonpsychotic mental disorders due to brain damage	Both	mental disorders	1	310.2	6	F06, F07.0, F07.1, F07.2, F07.8, F07.9
291.8	Alteration of consciousness	Both	mental disorders	1	780.0	3	G47.1, R40.0, R40.1
292	Neurological disorders	Both	mental disorders	2	780.1, 784.5	1	R41.8
292.1	Aphasia/speech disturbance	Both	mental disorders	1	784.5	3	R47.0, R47.1, R47.8
292.12	Symbolic dysfunction	Both	mental disorders	NA	NA	4	R48.0, R48.1, R48.2, R48.8
292.2	Mild cognitive impairment	Both	mental disorders	NA	NA	1	F06.7
292.3	Memory loss	Both	mental disorders	NA	NA	3	R41.1, R41.2, R41.3
292.4	Altered mental status	Both	mental disorders	NA	NA	1	R41.0
292.6	Hallucinations	Both	mental disorders	1	780.1	3	R44.0, R44.2, R44.3
293	Symptoms involving head and neck		mental disorders	1	784.9	3	R06.5, R06.7, R19.6
293.1	Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]	Both	mental disorders	1	784.2	3	R22.0, R22.1, R90.0
295	Schizophrenia and other psychotic disorders		mental disorders	5	295.3, 295.9, 298.2, 298.8, 298.9	2	F44.3, F44.8
295.1	Schizophrenia	Both	mental disorders	2	295.3, 295.9	14	F20, F20.0, F20.1, F20.2, F20.3, F20.5, F20.6, F20.8, F20.9, F25.0, F25.1, F25.2, F25.8, F25.9
295.2	Paranoid disorders	Both	mental disorders	NA	NA	5	F22.0, F22.8, F22.9, F23.3, F24
295.3	Psychosis	Both	mental disorders	2	298.8, 298.9	4	F06.0, F06.2, F23.2, F29
296	Mood disorders		mental disorders	3	296.0, 296.1, 296.6	7	F06.3, F34.8, F34.9, F38.0, F38.1, F38.8, F39
296.1	Bipolar		mental disorders	3	296.0, 296.1, 296.6	16	F30.0, F30.1, F30.2, F30.8, F30.9, F31.0, F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7, F31.8, F31.9, F32.8
296.22	Major depressive disorder	Both	mental disorders	NA	NA	8	F20.4, F32.8, F33.0, F33.1, F33.2, F33.3, F33.4, F33.8
297	Suicidal ideation or attempt		mental disorders	16	E950.0, E950.1, E950.2, E950.3, E950.4, E950.5, E950.6, E950.9, E952.0, E953.0, E955.4, E957.0, E958.3, E958.8, E958.9, E988.9	1	Y87.2
297.2	Suicide or self-inflicted injury	Both	mental disorders	15	E950.0, E950.1, E950.2, E950.3, E950.4, E950.5, E950.6, E950.9, E952.0, E953.0, E955.4, E957.0, E958.3, E958.8, E958.9	2	Y87.0, Z91.5
300	Anxiety disorders	Both	mental disorders	8	300.0, 300.2, 300.3, 300.4, 300.5, 300.9, 308.0, 308.9	6	F48.0, F48.8, F48.9, F99, R45.2, R45.5
300.1	Anxiety disorder	Both	mental disorders	1	300.0	5	F06.4, F41.2, F41.3, F41.8, F41.9
300.11	Generalized anxiety disorder	Both	mental disorders	NA	NA	1	F41.1
300.12	Agorophobia, social phobia, and panic disorder	Both	mental disorders	NA	NA	3	F40.0, F40.1, F41.0
300.13	Phobia	Both	mental disorders	NA	NA	3	F40.2, F40.8, F40.9
300.2	Generalized anxiety & phobic disorders	Both	mental disorders	1	300.2	NA	NA
300.3	Obsessive-compulsive disorders	Both	mental disorders	1	300.3	5	F42.0, F42.1, F42.2, F42.8, F42.9
300.4	Dysthymic disorder	Both	mental disorders	1	300.4	1	F34.1
300.8	Acute reaction to stress	Both	mental disorders	2	308.0, 308.9	2	F43.0, R45.7
300.9	Posttraumatic stress disorder	Both	mental disorders	NA	NA	1	F43.1
301	Personality disorders		mental disorders	4	301.2, 301.5, 301.6, 301.9	11	F34.0, F60.0, F60.4, F60.6, F60.7, F60.8, F60.9, F61, F68.0, F68.1, F69
301.1	Schizoid personality disorder	Both	mental disorders	1	301.2	3	F21, F60.1, F60.5
301.2	Antisocial/borderline personality disorder	Both	mental disorders	NA	NA	2	F60.2, F60.3
302	Sexual and gender identity disorders		mental disorders	2	302.0, 302.7	19	F52.1, F52.2, F52.3, F52.4, F52.5, F52.6, F52.7, F52.8, F52.9, F64.0, F64.1, F64.8, F64.9, F65.0, F65.9, F66.0, F66.1, F66.2, F66.9
302.1	Decreased libido		mental disorders	NA	NA	1	F52.0
303	Psychogenic and somatoform disorders	Both	mental disorders	6	300.1, 306.1, 306.2, 306.4, 306.9, 307.8	2	F48.8, F68.0
303.1	Dissociative disorder	Both	mental disorders	NA	NA	5	F44.0, F44.1, F44.7, F44.9, F48.1
303.3	Psychogenic disorder	Both	mental disorders	4	306.1, 306.2, 306.4, 306.9	3	F45.3, F45.8, F59
303.31	Gastrointestinal malfunction arising from mental factors	Both	mental disorders	1	306.4	NA	NA
303.4	Somatoform disorder	Both	mental disorders	1	307.8	8	F44.4, F44.5, F44.6, F45.0, F45.1, F45.2, F45.4, F45.9
304	Adjustment reaction	Both	mental disorders	2	309.0, 309.2	3	F43.2, F43.8, F43.9
305.2	Eating disorder	Both	mental disorders	1	307.1	5	F50.1, F50.2, F50.5, F50.8, F50.9
305.21	Anorexia nervosa	Both	mental disorders	1	307.1	1	F50.0
306	Other mental disorder	Both	mental disorders	2	V11.9, V40.9	7	F48.8, F54, F62.1, G21.0, Z04.6, Z86.4, Z86.5
306.9	Tension headache	Both	mental disorders	NA	NA	1	G44.2
312	Conduct disorders		mental disorders	1	312.9	5	F91.1, F91.8, F91.9, F92.0, F92.9
312.3	Impulse control disorder	Both	mental disorders	NA	NA	4	F63.0, F63.1, F63.3, F63.9
313	Pervasive developmental disorders		mental disorders	NA	NA	4	F94.0, F94.1, F98.1, F98.8
313.2	Tics and stuttering	Both	mental disorders	NA	NA	5	F95.0, F95.1, F95.2, F95.9, F98.5
313.3	Autism	Both	mental disorders	NA	NA	4	F84.0, F84.1, F84.3, F84.5
315	Develomental delays and disorders	Both	mental disorders	NA	NA	4	F63.3, F82, F89, R45.1
315.1	Learning disorder	Both	mental disorders	NA	NA	3	F81.0, F81.2, F81.9
